elm_loc_name,elm_desc,con_buslv,con_bushv,elm_outserv,elm_nntap,typ_strn,typ_utrn_l,typ_utrn_h,typ_r1pu,typ_x1pu,typ_dutap,typ_tap_side,typ_ntpmn,typ_ntpmx,msc_powermodels_index,grf_rCenterX,grf_rCenterY,grf_sSymNam,gco_1_rX,gco_1_rY,gco_2_rX,gco_2_rY
branch_1344,"PowerModels index: 1344
f_bus: bus_1385
t_bus: bus_1607
name: line_1385_to_1386_1_pi_merged_with_xf_1386_to_1607_1_2winding_transformer",bus_1607,bus_1385,0,0,100,33.0,132.0,0.002077550852084653,0.06839249930691109,1.0e-7,0,0,0,1344,28168.4375,38874.0625,d_lin,"[28168.4375, 29058.75, 29058.75]","[38874.0625, 39003.125, 39003.125]","[28168.4375, 27278.125, 27278.125]","[38874.0625, 38745.0, 38745.0]"
branch_1359,"PowerModels index: 1359
f_bus: bus_2210
t_bus: bus_2104
name: line_2210_to_2212_1_pi_merged_with_xf_2104_to_2212_1_2winding_transformer",bus_2210,bus_2104,0,0,100,66.0,220.0,0.0009976072892255341,0.05084718017886311,1.0e-7,1,0,0,1359,19698.4375,10935.3125,d_lin,"[19698.4375, 19656.875, 19656.875]","[10935.3125, 10574.375, 10574.375]","[19698.4375, 19740.0, 19740.0]","[10935.3125, 11296.25, 11296.25]"
branch_1364,"PowerModels index: 1364
f_bus: bus_3220
t_bus: bus_3032
name: line_3031_to_3216_2_pi_merged_with_xf_3031_to_3032_2_2winding_transformer",bus_3032,bus_3220,0,0,100,66.0,132.0,0.001674684489339755,0.06321401141457621,1.0e-7,0,0,0,1364,10230.9375,50997.1875,d_lin,"[10230.9375, 10504.375, 10504.375]","[50997.1875, 51108.75, 51108.75]","[10230.9375, 9957.5, 9957.5]","[50997.1875, 50885.625, 50885.625]"
branch_1366,"PowerModels index: 1366
f_bus: bus_3261
t_bus: bus_3615
name: line_3261_to_3538_1_pi_merged_with_xf_3615_to_3538_1_2winding_transformer",bus_3261,bus_3615,0,0,100,132.0,275.0,0.00022794541545396313,0.024826778162614825,1.0e-7,1,0,0,1366,20044.0625,46501.875,d_lin,"[20044.0625, 19582.5, 19582.5]","[46501.875, 46576.25, 46576.25]","[20044.0625, 20505.625, 20505.625]","[46501.875, 46427.5, 46427.5]"
branch_1367,"PowerModels index: 1367
f_bus: bus_3319
t_bus: bus_3320
name: line_3317_to_3636_1_pi_merged_with_xf_3317_to_3320_2_2winding_transformer",bus_3320,bus_3319,0,0,100,33.0,110.0,0.002015097910245124,0.0564997521953038,1.0e-7,0,0,0,1367,15126.5625,47151.5625,d_lin,"[15126.5625, 15128.75, 15128.75]","[47151.5625, 47271.875, 47271.875]","[15126.5625, 15124.375, 15124.375]","[47151.5625, 47031.25, 47031.25]"
branch_1369,"PowerModels index: 1369
f_bus: bus_3344
t_bus: bus_3347
name: line_3346_to_3503_1_pi_merged_with_xf_3346_to_3347_1_2winding_transformer",bus_3347,bus_3344,0,0,100,33.0,110.0,0.002720346617974979,0.12607219923246005,1.0e-7,0,0,0,1369,16616.25,42708.75,d_lin,"[16616.25, 16699.375, 16699.375]","[42708.75, 42774.375, 42774.375]","[16616.25, 16533.125, 16533.125]","[42708.75, 42643.125, 42643.125]"
branch_1372,"PowerModels index: 1372
f_bus: bus_3407
t_bus: bus_3172
name: line_3407_to_3658_1_pi_merged_with_xf_3172_to_3658_1_2winding_transformer",bus_3407,bus_3172,0,0,100,33.0,132.0,0.009025312901263415,0.2842027202697339,1.0e-7,1,0,0,1372,11528.125,56516.25,d_lin,"[11528.125, 11112.5, 11112.5]","[56516.25, 56770.0, 56770.0]","[11528.125, 11943.75, 11943.75]","[56516.25, 56262.5, 56262.5]"
branch_1375,"PowerModels index: 1375
f_bus: bus_4190
t_bus: bus_4350
name: line_4164_to_4191_1_pi_merged_with_xf_4164_to_4350_1_2winding_transformer",bus_4350,bus_4190,0,0,100,33.0,132.0,0.0032780764148326673,0.11724226626329412,1.0e-7,0,0,0,1375,7045.9375,25300.625,d_lin,"[7045.9375, 6693.75, 6693.75]","[25300.625, 26460.0, 26460.0]","[7045.9375, 7398.125, 7398.125]","[25300.625, 24141.25, 24141.25]"
branch_1376,"PowerModels index: 1376
f_bus: bus_4363
t_bus: bus_4019
name: line_4362_to_4363_1_pi_merged_with_xf_4362_to_4019_2_2winding_transformer",bus_4019,bus_4363,0,0,100,0.6899999999999998,33.0,0.039720475497385596,0.29717700131755453,1.0e-7,0,0,0,1376,5390.0,20341.5625,d_lin,"[5390.0, 5044.375, 5044.375]","[20341.5625, 20107.5, 20107.5]","[5390.0, 5735.625, 5735.625]","[20341.5625, 20575.625, 20575.625]"
branch_140,"PowerModels index: 140
f_bus: bus_1177
t_bus: bus_1383
name: line_1177_to_1384_1_cp_merged_with_xf_1384_to_1383_1_2winding_transformer",bus_1383,bus_1177,0,0,100,33.0,132.0,0.030391143900961107,0.17911859959056917,1.0e-7,0,0,0,140,20256.25,24758.125,d_lin,"[20256.25, 19560.625, 19560.625]","[24758.125, 24189.375, 24189.375]","[20256.25, 20951.875, 20951.875]","[24758.125, 25326.875, 25326.875]"
branch_1406,"PowerModels index: 1406
f_bus: bus_1002
t_bus: bus_1006
name: xf_1002_to_1006_10_2winding_transformer",bus_1006,bus_1002,0,0,100,11.0,23.0,1.0000000038417056e-9,0.11357095076864812,1.0e-7,0,0,0,1406,21102.8125,32884.6875,d_lin,"[21102.8125, 21131.25, 21131.25]","[32884.6875, 33005.0, 33005.0]","[21102.8125, 21074.375, 21074.375]","[32884.6875, 32764.375, 32764.375]"
branch_1407,"PowerModels index: 1407
f_bus: bus_1003
t_bus: bus_1006
name: xf_1003_to_1006_11_2winding_transformer",bus_1006,bus_1003,0,0,100,11.0,23.0,1.0000000038417056e-9,0.11497412229305314,1.0e-7,0,0,0,1407,21144.375,32873.75,d_lin,"[21144.375, 21140.0, 21140.0]","[32873.75, 33005.0, 33005.0]","[21144.375, 21148.75, 21148.75]","[32873.75, 32742.5, 32742.5]"
branch_1410,"PowerModels index: 1410
f_bus: bus_1012
t_bus: bus_1383
name: xf_1012_to_1383_4_2winding_transformer",bus_1012,bus_1383,0,0,100,0.6899999999999998,33.0,0.009369065695919993,0.1184510319967115,1.0e-7,1,0,0,1410,19396.5625,24075.625,d_lin,"[19396.5625, 19223.75, 19223.75]","[24075.625, 23961.875, 23961.875]","[19396.5625, 19569.375, 19569.375]","[24075.625, 24189.375, 24189.375]"
branch_1411,"PowerModels index: 1411
f_bus: bus_1013
t_bus: bus_1383
name: xf_1013_to_1383_2_2winding_transformer",bus_1013,bus_1383,0,0,100,0.6899999999999998,33.0,0.009462735083853164,0.10863787594545198,1.0e-7,1,0,0,1411,19455.625,24051.5625,d_lin,"[19455.625, 19333.125, 19333.125]","[24051.5625, 23913.75, 23913.75]","[19455.625, 19578.125, 19578.125]","[24051.5625, 24189.375, 24189.375]"
branch_1412,"PowerModels index: 1412
f_bus: bus_1014
t_bus: bus_1383
name: xf_1014_to_1383_3_2winding_transformer",bus_1014,bus_1383,0,0,100,0.6899999999999998,33.0,0.008191248676960824,0.08775879706195192,1.0e-7,1,0,0,1412,19446.875,24010.0,d_lin,"[19446.875, 19306.875, 19306.875]","[24010.0, 23830.625, 23830.625]","[19446.875, 19586.875, 19586.875]","[24010.0, 24189.375, 24189.375]"
branch_1413,"PowerModels index: 1413
f_bus: bus_1023
t_bus: bus_1564
name: xf_1023_to_1564_4_2winding_transformer",bus_1023,bus_1564,0,0,100,0.6899999999999998,33.0,0.008238174082116382,0.06260001982851865,1.0e-7,1,0,0,1413,24847.8125,24572.1875,d_lin,"[24847.8125, 25055.625, 25055.625]","[24572.1875, 24535.0, 24535.0]","[24847.8125, 24640.0, 24640.0]","[24572.1875, 24609.375, 24609.375]"
branch_1414,"PowerModels index: 1414
f_bus: bus_1024
t_bus: bus_1564
name: xf_1024_to_1564_5_2winding_transformer",bus_1024,bus_1564,0,0,100,0.6899999999999998,33.0,0.009642850663551817,0.07197604392635651,1.0e-7,1,0,0,1414,24850.0,24629.0625,d_lin,"[24850.0, 25060.0, 25060.0]","[24629.0625, 24648.75, 24648.75]","[24850.0, 24640.0, 24640.0]","[24629.0625, 24609.375, 24609.375]"
branch_1415,"PowerModels index: 1415
f_bus: bus_1025
t_bus: bus_1565
name: xf_1025_to_1565_1_2winding_transformer",bus_1025,bus_1565,0,0,100,0.6899999999999998,33.0,0.006540899107905133,0.06177201284509548,1.0e-7,1,0,0,1415,24653.125,24436.5625,d_lin,"[24653.125, 24841.25, 24841.25]","[24436.5625, 24386.25, 24386.25]","[24653.125, 24465.0, 24465.0]","[24436.5625, 24486.875, 24486.875]"
branch_1417,"PowerModels index: 1417
f_bus: bus_1061
t_bus: bus_1083
name: xf_1061_to_1083_2_2winding_transformer",bus_1083,bus_1061,0,0,100,66.0,132.0,0.003470520942204062,0.0945650460709143,1.0e-7,0,0,0,1417,22080.625,22001.875,d_lin,"[22080.625, 22115.625, 22115.625]","[22001.875, 21879.375, 21879.375]","[22080.625, 22045.625, 22045.625]","[22001.875, 22124.375, 22124.375]"
branch_1419,"PowerModels index: 1419
f_bus: bus_1090
t_bus: bus_1004
name: xf_1090_to_1004_6_2winding_transformer",bus_1004,bus_1090,0,0,100,23.0,500.0,0.00032936720952503454,0.021551563452484802,1.0e-7,0,-999999999,999999999,1419,20868.75,31561.25,d_lin,"[20868.75, 20816.25, 20816.25]","[31561.25, 31679.375, 31679.375]","[20868.75, 20921.25, 20921.25]","[31561.25, 31443.125, 31443.125]"
branch_1421,"PowerModels index: 1421
f_bus: bus_1090
t_bus: bus_1005
name: xf_1090_to_1005_8_2winding_transformer",bus_1005,bus_1090,0,0,100,23.0,500.0,0.00030418387717109344,0.021499596189174165,1.0e-7,0,-999999999,999999999,1421,20809.6875,31528.4375,d_lin,"[20809.6875, 20706.875, 20706.875]","[31528.4375, 31613.75, 31613.75]","[20809.6875, 20912.5, 20912.5]","[31528.4375, 31443.125, 31443.125]"
branch_1422,"PowerModels index: 1422
f_bus: bus_1091
t_bus: bus_1002
name: xf_1091_to_1002_1_2winding_transformer",bus_1002,bus_1091,0,0,100,23.0,330.0,0.00027812612396445053,0.018602181243712834,1.0e-7,0,0,0,1422,21102.8125,32567.5,d_lin,"[21102.8125, 21100.625, 21100.625]","[32567.5, 32764.375, 32764.375]","[21102.8125, 21105.0, 21105.0]","[32567.5, 32370.625, 32370.625]"
branch_1425,"PowerModels index: 1425
f_bus: bus_1091
t_bus: bus_1003
name: xf_1091_to_1003_4_2winding_transformer",bus_1003,bus_1091,0,0,100,23.0,330.0,0.00032631899374168446,0.01867157966943579,1.0e-7,0,0,0,1425,21135.625,32556.5625,d_lin,"[21135.625, 21157.5, 21157.5]","[32556.5625, 32742.5, 32742.5]","[21135.625, 21113.75, 21113.75]","[32556.5625, 32370.625, 32370.625]"
branch_1427,"PowerModels index: 1427
f_bus: bus_1011
t_bus: bus_1159
name: xf_1095_to_1159_4_2winding_transformer",bus_1159,bus_1011,0,0,100,132.0,330.0,0.00019850470887219213,0.022525321899529632,1.0e-7,0,-999999999,999999999,1427,25044.6875,38819.375,d_lin,"[25044.6875, 25760.0, 25760.0]","[38819.375, 38858.75, 38858.75]","[25044.6875, 24329.375, 24329.375]","[38819.375, 38780.0, 38780.0]"
branch_1429,"PowerModels index: 1429
f_bus: bus_1099
t_bus: bus_1019
name: xf_1099_to_1019_6_2winding_transformer",bus_1019,bus_1099,0,0,100,23.0,500.0,0.0003638435091912141,0.020159510305990332,1.0e-7,0,-999999999,999999999,1429,21599.375,30867.8125,d_lin,"[21599.375, 21796.25, 21796.25]","[30867.8125, 30900.625, 30900.625]","[21599.375, 21402.5, 21402.5]","[30867.8125, 30835.0, 30835.0]"
branch_1431,"PowerModels index: 1431
f_bus: bus_1099
t_bus: bus_1020
name: xf_1099_to_1020_8_2winding_transformer",bus_1020,bus_1099,0,0,100,23.0,500.0,0.00035650518807291327,0.020955583438163245,1.0e-7,0,-999999999,999999999,1431,21586.25,30920.3125,d_lin,"[21586.25, 21778.75, 21778.75]","[30920.3125, 31005.625, 31005.625]","[21586.25, 21393.75, 21393.75]","[30920.3125, 30835.0, 30835.0]"
branch_1433,"PowerModels index: 1433
f_bus: bus_1100
t_bus: bus_1017
name: xf_1100_to_1017_2_2winding_transformer",bus_1017,bus_1100,0,0,100,23.0,330.0,0.0002651709999746222,0.01933089006852863,1.0e-7,0,0,0,1433,21971.25,32053.4375,d_lin,"[21971.25, 22172.5, 22172.5]","[32053.4375, 32173.75, 32173.75]","[21971.25, 21770.0, 21770.0]","[32053.4375, 31933.125, 31933.125]"
branch_1434,"PowerModels index: 1434
f_bus: bus_1100
t_bus: bus_1018
name: xf_1100_to_1018_3_2winding_transformer",bus_1018,bus_1100,0,0,100,23.0,330.0,0.00028728508481855097,0.01827032602209202,1.0e-7,0,0,0,1434,21997.5,32003.125,d_lin,"[21997.5, 22216.25, 22216.25]","[32003.125, 32073.125, 32073.125]","[21997.5, 21778.75, 21778.75]","[32003.125, 31933.125, 31933.125]"
branch_1436,"PowerModels index: 1436
f_bus: bus_1102
t_bus: bus_1564
name: xf_1102_to_1564_1_2winding_transformer",bus_1564,bus_1102,0,0,100,33.0,330.0,0.0007264998279377257,0.031919470693989864,1.0e-7,0,0,0,1436,24292.1875,24615.9375,d_lin,"[24292.1875, 24631.25, 24631.25]","[24615.9375, 24609.375, 24609.375]","[24292.1875, 23953.125, 23953.125]","[24615.9375, 24622.5, 24622.5]"
branch_1438,"PowerModels index: 1438
f_bus: bus_1102
t_bus: bus_1565
name: xf_1102_to_1565_3_2winding_transformer",bus_1565,bus_1102,0,0,100,33.0,330.0,0.0016957361268799868,0.0871286782751623,1.0e-7,0,0,0,1438,24195.9375,24554.6875,d_lin,"[24195.9375, 24447.5, 24447.5]","[24554.6875, 24486.875, 24486.875]","[24195.9375, 23944.375, 23944.375]","[24554.6875, 24622.5, 24622.5]"
branch_1441,"PowerModels index: 1441
f_bus: bus_1104
t_bus: bus_1164
name: xf_1104_to_1164_1_2winding_transformer",bus_1164,bus_1104,0,0,100,132.0,330.0,0.0005440601962076726,0.04598551543498585,1.0e-7,0,-999999999,999999999,1441,25904.375,39125.625,d_lin,"[25904.375, 26359.375, 26359.375]","[39125.625, 39248.125, 39248.125]","[25904.375, 25449.375, 25449.375]","[39125.625, 39003.125, 39003.125]"
branch_1444,"PowerModels index: 1444
f_bus: bus_1105
t_bus: bus_1166
name: xf_1105_to_1166_3_2winding_transformer",bus_1166,bus_1105,0,0,100,132.0,330.0,0.0001793102593414188,0.011553054492893821,1.0e-7,0,-999999999,999999999,1444,22292.8125,26385.625,d_lin,"[22292.8125, 22474.375, 22474.375]","[26385.625, 26040.0, 26040.0]","[22292.8125, 22111.25, 22111.25]","[26385.625, 26731.25, 26731.25]"
branch_1447,"PowerModels index: 1447
f_bus: bus_1106
t_bus: bus_1168
name: xf_1106_to_1168_2_2winding_transformer",bus_1168,bus_1106,0,0,100,132.0,330.0,4.999999991923687e-10,0.022014595778140158,1.0e-7,0,-999999999,999999999,1447,21848.75,20004.6875,d_lin,"[21848.75, 21700.0, 21700.0]","[20004.6875, 20098.75, 20098.75]","[21848.75, 21997.5, 21997.5]","[20004.6875, 19910.625, 19910.625]"
branch_1449,"PowerModels index: 1449
f_bus: bus_1107
t_bus: bus_1409
name: xf_1107_to_1410_3_2winding_transformer_merged_with_line_1410_to_1411_3_pi",bus_1409,bus_1107,0,0,100,132.0,330.0,9.99994089999801e-10,0.022435111459506274,1.0e-7,0,-999999999,999999999,1449,17808.4375,28934.0625,d_lin,"[17808.4375, 17609.375, 17609.375]","[28934.0625, 28643.125, 28643.125]","[17808.4375, 18007.5, 18007.5]","[28934.0625, 29225.0, 29225.0]"
branch_1452,"PowerModels index: 1452
f_bus: bus_1110
t_bus: bus_1169
name: xf_1110_to_1169_3_2winding_transformer",bus_1169,bus_1110,0,0,100,132.0,330.0,3.333333334012423e-10,0.014890081780002487,1.0e-7,0,-999999999,999999999,1452,23043.125,27181.875,d_lin,"[23043.125, 23314.375, 23314.375]","[27181.875, 26945.625, 26945.625]","[23043.125, 22771.875, 22771.875]","[27181.875, 27418.125, 27418.125]"
branch_1454,"PowerModels index: 1454
f_bus: bus_1111
t_bus: bus_1234
name: xf_1111_to_1171_2_2winding_transformer",bus_1234,bus_1111,0,0,100,132.0,330.0,0.00029521184880845167,0.022303385191204506,1.0e-7,0,-999999999,999999999,1454,18370.625,30555.0,d_lin,"[18370.625, 17955.0, 17955.0]","[30555.0, 30948.75, 30948.75]","[18370.625, 18786.25, 18786.25]","[30555.0, 30161.25, 30161.25]"
branch_1456,"PowerModels index: 1456
f_bus: bus_1112
t_bus: bus_1538
name: xf_1112_to_1538_2_2winding_transformer",bus_1538,bus_1112,0,0,100,66.0,330.0,0.0007184039669626623,0.03618791667468336,1.0e-7,0,-999999999,999999999,1456,21463.75,28625.625,d_lin,"[21463.75, 21647.5, 21647.5]","[28625.625, 28686.875, 28686.875]","[21463.75, 21280.0, 21280.0]","[28625.625, 28564.375, 28564.375]"
branch_1458,"PowerModels index: 1458
f_bus: bus_1113
t_bus: bus_1172
name: xf_1113_to_1172_2_2winding_transformer",bus_1172,bus_1113,0,0,100,132.0,330.0,9.999951967678072e-10,0.02322229415846877,1.0e-7,0,-999999999,999999999,1458,23137.1875,20090.0,d_lin,"[23137.1875, 22942.5, 22942.5]","[20090.0, 19985.0, 19985.0]","[23137.1875, 23331.875, 23331.875]","[20090.0, 20195.0, 20195.0]"
branch_1460,"PowerModels index: 1460
f_bus: bus_1114
t_bus: bus_1030
name: xf_1114_to_1030_2_2winding_transformer",bus_1030,bus_1114,0,0,100,16.0,330.0,0.0038099322086682878,0.11065742066869713,1.0e-7,0,0,0,1460,23347.1875,25532.5,d_lin,"[23347.1875, 23498.125, 23498.125]","[25532.5, 25410.0, 25410.0]","[23347.1875, 23196.25, 23196.25]","[25532.5, 25655.0, 25655.0]"
branch_1461,"PowerModels index: 1461
f_bus: bus_1115
t_bus: bus_1034
name: xf_1115_to_1034_1_2winding_transformer",bus_1034,bus_1115,0,0,100,22.0,330.0,0.0005080441396556107,0.027794037226002537,1.0e-7,0,0,0,1461,23062.8125,34232.1875,d_lin,"[23062.8125, 23235.625, 23235.625]","[34232.1875, 34304.375, 34304.375]","[23062.8125, 22890.0, 22890.0]","[34232.1875, 34160.0, 34160.0]"
branch_1462,"PowerModels index: 1462
f_bus: bus_1115
t_bus: bus_1036
name: xf_1115_to_1036_3_2winding_transformer",bus_1036,bus_1115,0,0,100,22.0,330.0,0.0005044368716653662,0.03022995428329504,1.0e-7,0,0,0,1462,23095.625,34192.8125,d_lin,"[23095.625, 23292.5, 23292.5]","[34192.8125, 34225.625, 34225.625]","[23095.625, 22898.75, 22898.75]","[34192.8125, 34160.0, 34160.0]"
branch_1463,"PowerModels index: 1463
f_bus: bus_1115
t_bus: bus_1037
name: xf_1115_to_1037_4_2winding_transformer",bus_1037,bus_1115,0,0,100,22.0,330.0,0.00046038846509468385,0.03071514442071494,1.0e-7,0,0,0,1463,23016.875,34300.0,d_lin,"[23016.875, 23161.25, 23161.25]","[34300.0, 34440.0, 34440.0]","[23016.875, 22872.5, 22872.5]","[34300.0, 34160.0, 34160.0]"
branch_1464,"PowerModels index: 1464
f_bus: bus_1115
t_bus: bus_1544
name: xf_1115_to_1544_5_2winding_transformer",bus_1544,bus_1115,0,0,100,33.0,330.0,0.0058057553057948245,0.17677179178999916,1.0e-7,0,-999999999,999999999,1464,23399.6875,34238.75,d_lin,"[23399.6875, 23891.875, 23891.875]","[34238.75, 34317.5, 34317.5]","[23399.6875, 22907.5, 22907.5]","[34238.75, 34160.0, 34160.0]"
