elm_loc_name,elm_R,elm_Dt,elm_T1,elm_T2,elm_T3,elm_Vmax,elm_Vmin,con_gen
TGOV1_gen_2069_1,0.05,0,0.5,2.1,7,1,0,gen_2069_1.ElmSym
TGOV1_gen_2073_1,0.05,0,0.5,2.1,7,1,0,gen_2073_1.ElmSym
TGOV1_gen_2322_3,0.05,0,0.5,2.1,7,1,0,gen_2322_3.ElmSym
TGOV1_gen_2323_4,0.05,0,0.5,2.1,7,1,0,gen_2323_4.ElmSym
TGOV1_gen_2324_1,0.05,0,0.5,2.1,7,1,0,gen_2324_1.ElmSym
TGOV1_gen_2325_2,0.05,0,0.5,2.1,7,1,0,gen_2325_2.ElmSym
TGOV1_gen_3264_1,0.05,0,0.5,2.1,7,1,0,gen_3264_1.ElmSym
TGOV1_gen_3295_1,0.05,0,0.5,2.1,7,1,0,gen_3295_1.ElmSym
TGOV1_gen_3417_1,0.05,0,0.5,2.1,7,1,0,gen_3417_1.ElmSym
TGOV1_gen_3418_2,0.05,0,0.5,2.1,7,1,0,gen_3418_2.ElmSym
TGOV1_gen_3419_3,0.05,0,0.5,2.1,7,1,0,gen_3419_3.ElmSym
TGOV1_gen_3420_4,0.05,0,0.5,2.1,7,1,0,gen_3420_4.ElmSym
TGOV1_gen_3421_5,0.05,0,0.5,2.1,7,1,0,gen_3421_5.ElmSym
TGOV1_gen_3422_6,0.05,0,0.5,2.1,7,1,0,gen_3422_6.ElmSym
TGOV1_gen_3423_1,0.05,0,0.5,2.1,7,1,0,gen_3423_1.ElmSym
TGOV1_gen_3424_2,0.05,0,0.5,2.1,7,1,0,gen_3424_2.ElmSym
TGOV1_gen_3425_3,0.05,0,0.5,2.1,7,1,0,gen_3425_3.ElmSym
TGOV1_gen_3426_4,0.05,0,0.5,2.1,7,1,0,gen_3426_4.ElmSym
TGOV1_gen_3430_1,0.05,0,0.5,2.1,7,1,0,gen_3430_1.ElmSym
TGOV1_gen_3431_2,0.05,0,0.5,2.1,7,1,0,gen_3431_2.ElmSym
TGOV1_gen_3434_1,0.05,0,0.5,2.1,7,1,0,gen_3434_1.ElmSym
TGOV1_gen_3435_2,0.05,0,0.5,2.1,7,1,0,gen_3435_2.ElmSym
TGOV1_gen_3436_3,0.05,0,0.5,2.1,7,1,0,gen_3436_3.ElmSym
TGOV1_gen_3437_4,0.05,0,0.5,2.1,7,1,0,gen_3437_4.ElmSym
TGOV1_gen_3438_1,0.05,0,0.5,2.1,7,1,0,gen_3438_1.ElmSym
TGOV1_gen_3439_2,0.05,0,0.5,2.1,7,1,0,gen_3439_2.ElmSym
TGOV1_gen_3442_1,0.05,0,0.5,2.1,7,1,0,gen_3442_1.ElmSym
TGOV1_gen_3443_2,0.05,0,0.5,2.1,7,1,0,gen_3443_2.ElmSym
TGOV1_gen_3444_1,0.05,0,0.5,2.1,7,1,0,gen_3444_1.ElmSym
TGOV1_gen_3462_1,0.05,0,0.5,2.1,7,1,0,gen_3462_1.ElmSym
TGOV1_gen_3463_1,0.05,0,0.5,2.1,7,1,0,gen_3463_1.ElmSym
TGOV1_gen_3464_1,0.05,0,0.5,2.1,7,1,0,gen_3464_1.ElmSym
TGOV1_gen_3466_1,0.05,0,0.5,2.1,7,1,0,gen_3466_1.ElmSym
TGOV1_gen_3525_2,0.05,0,0.5,2.1,7,1,0,gen_3525_2.ElmSym
TGOV1_gen_3526_3,0.05,0,0.5,2.1,7,1,0,gen_3526_3.ElmSym
TGOV1_gen_3527_1,0.05,0,0.5,2.1,7,1,0,gen_3527_1.ElmSym
TGOV1_gen_3585_1,0.05,0,0.5,2.1,7,1,0,gen_3585_1.ElmSym
TGOV1_gen_3586_2,0.05,0,0.5,2.1,7,1,0,gen_3586_2.ElmSym
TGOV1_gen_3587_3,0.05,0,0.5,2.1,7,1,0,gen_3587_3.ElmSym
TGOV1_gen_3588_4,0.05,0,0.5,2.1,7,1,0,gen_3588_4.ElmSym
TGOV1_gen_3655_1,0.05,0,0.5,2.1,7,1,0,gen_3655_1.ElmSym
TGOV1_gen_3656_2,0.05,0,0.5,2.1,7,1,0,gen_3656_2.ElmSym
TGOV1_gen_4027_1,0.05,0,0.5,2.1,7,1,0,gen_4027_1.ElmSym
TGOV1_gen_4028_1,0.05,0,0.5,2.1,7,1,0,gen_4028_1.ElmSym
TGOV1_gen_4029_1,0.05,0,0.5,2.1,7,1,0,gen_4029_1.ElmSym
TGOV1_gen_4030_1,0.05,0,0.5,2.1,7,1,0,gen_4030_1.ElmSym
TGOV1_gen_4033_1,0.05,0,0.5,2.1,7,1,0,gen_4033_1.ElmSym
TGOV1_gen_4034_1,0.05,0,0.5,2.1,7,1,0,gen_4034_1.ElmSym
TGOV1_gen_4035_1,0.05,0,0.5,2.1,7,1,0,gen_4035_1.ElmSym
TGOV1_gen_4036_1,0.05,0,0.5,2.1,7,1,0,gen_4036_1.ElmSym
TGOV1_gen_4052_11,0.05,0,0.5,2.1,7,1,0,gen_4052_11.ElmSym
TGOV1_gen_4053_12,0.05,0,0.5,2.1,7,1,0,gen_4053_12.ElmSym
TGOV1_gen_4054_18,0.05,0,0.5,2.1,7,1,0,gen_4054_18.ElmSym
TGOV1_gen_4058_1,0.05,0,0.5,2.1,7,1,0,gen_4058_1.ElmSym
TGOV1_gen_4059_2,0.05,0,0.5,2.1,7,1,0,gen_4059_2.ElmSym
TGOV1_gen_4061_4,0.05,0,0.5,2.1,7,1,0,gen_4061_4.ElmSym
TGOV1_gen_4062_1,0.05,0,0.5,2.1,7,1,0,gen_4062_1.ElmSym
TGOV1_gen_4064_3,0.05,0,0.5,2.1,7,1,0,gen_4064_3.ElmSym
TGOV1_gen_4065_4,0.05,0,0.5,2.1,7,1,0,gen_4065_4.ElmSym
TGOV1_gen_4066_1,0.05,0,0.5,2.1,7,1,0,gen_4066_1.ElmSym
TGOV1_gen_4067_2,0.05,0,0.5,2.1,7,1,0,gen_4067_2.ElmSym
TGOV1_gen_4072_1,0.05,0,0.5,2.1,7,1,0,gen_4072_1.ElmSym
TGOV1_gen_5016_6,0.05,0,0.5,2.1,7,1,0,gen_5016_6.ElmSym
TGOV1_gen_5017_1,0.05,0,0.5,2.1,7,1,0,gen_5017_1.ElmSym
TGOV1_gen_5018_2,0.05,0,0.5,2.1,7,1,0,gen_5018_2.ElmSym
