"Component  ","Description  ","Line length  ","R (per km) propagation mode or sequence data [3] ","L (per km) propagation mode or sequence data [3] ","C (per km) propagation mode or sequence data [3] ","Base power  ","Base voltage  ","Base frequency  ","EMTP (.pun) file for line parameters calculation ","Continuously transposed line ","Transformation matrix Untransposed line [9] ","L-C units in EMTP (.pun) file "
line_1182_to_1417_1,0.0,3213.271670560859000,[0.8129130917891311 0.08129130917891311 0.08129130917891311],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.531465407799384e-009 1.306293081559877e-008 1.306293081559877e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1182_to_1456_1,0.0,30017.50201933253000,[0.8970681364331549 0.08970681364331548 0.08970681364331548],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.495336925794271e-009 1.299067385158854e-008 1.299067385158854e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1210_1,0.0,11773.86611713884000,[1.265840605292324 0.1265840605292324 0.1265840605292324],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.84831733413808e-009 1.169663466827616e-008 1.169663466827616e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1257_1,0.0,7300.049447192151000,[1.298528090176427 0.1298528090176427 0.1298528090176427],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.426413155975721e-009 1.085282631195144e-008 1.085282631195144e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1262_1,0.0,13492.07391453142000,[1.160101934095015 0.1160101934095015 0.1160101934095015],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.841712480301678e-009 1.168342496060336e-008 1.168342496060336e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1283_1,0.0,15606.18386388875000,[0.7874703449570316 0.07874703449570317 0.07874703449570317],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.398953264361231e-009 1.279790652872246e-008 1.279790652872246e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1283_2,0.0,14648.19951927157000,[0.8455796657315858 0.08455796657315859 0.08455796657315859],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.410783685574777e-009 1.282156737114955e-008 1.282156737114955e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1336_1,0.0,11679.20243818000,[0.8675893661156451 0.08675893661156452 0.08675893661156452],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.260142822903313e-009 1.252028564580663e-008 1.252028564580663e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1337_1,0.0,10838.71905987114000,[0.8210704525408822 0.0821070452540882 0.0821070452540882],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.674053067243249e-009 1.33481061344865e-008 1.33481061344865e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1380_1,0.0,8245.390711677331000,[1.195070412582577 0.1195070412582577 0.1195070412582577],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.62315749985662e-009 1.124631499971324e-008 1.124631499971324e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1424_1,0.0,9427.171843074243000,[1.2516632285306 0.12516632285306 0.12516632285306],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.262426134510174e-009 1.252485226902035e-008 1.252485226902035e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1621_1,0.0,3480.882227023216000,[0.6092625332207249 0.06092625332207249 0.06092625332207249],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.283088351933905e-008 2.56617670386781e-008 2.56617670386781e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1183_to_1621_2,0.0,3466.224859211287000,[0.6240647795138523 0.06240647795138524 0.06240647795138524],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.362895069579515e-008 2.725790139159031e-008 2.725790139159031e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1184_to_1443_1,0.0,3356.01809413527000,[0.8532800972811059 0.08532800972811058 0.08532800972811058],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.216196051930738e-008 2.432392103861477e-008 2.432392103861477e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1184_to_1443_2,0.0,3411.055965126816000,[0.7900829120555812 0.07900829120555813 0.07900829120555813],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.257274385126104e-008 2.514548770252207e-008 2.514548770252207e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1185_to_1188_3,0.0,18828.95573370124000,[0.8004409951232211 0.08004409951232212 0.08004409951232212],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.846991951504443e-009 1.169398390300889e-008 1.169398390300889e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1185_to_1468_1,0.0,9863.109465847987000,[0.758549652180956 0.07585496521809559 0.07585496521809559],[0.004774648292756859 0.001591549430918954 0.001591549430918954],[6.506254124645963e-009 1.301250824929193e-008 1.301250824929193e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1186_to_1231_1,0.0,6401.198391045936000,[0.9611670055472331 0.09611670055472331 0.09611670055472331],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[2.381673177369017e-008 4.763346354738034e-008 4.763346354738034e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1186_to_1233_2,0.0,6983.010866092266000,[0.8400520145346649 0.08400520145346647 0.08400520145346647],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[2.128504333228362e-008 4.257008666456723e-008 4.257008666456723e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1186_to_1465_2,0.0,10699.54140378001000,[0.5651887997105203 0.05651887997105203 0.05651887997105203],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.254203947317424e-008 2.508407894634847e-008 2.508407894634847e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1186_to_1466_1,0.0,10707.85694637072000,[0.574347968378093 0.05743479683780929 0.05743479683780929],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[1.287016188065729e-008 2.574032376131457e-008 2.574032376131457e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1187_to_1468_1,0.0,8527.18824269518000,[0.8281807476578367 0.08281807476578366 0.08281807476578366],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.617359800855303e-009 1.323471960171061e-008 1.323471960171061e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1215_1,0.0,6401.355041067003000,[0.6371296534384135 0.06371296534384135 0.06371296534384135],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.205158496645824e-008 2.410316993291649e-008 2.410316993291649e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1240_1,0.0,4582.830206764871000,[0.7870505286104739 0.07870505286104738 0.07870505286104738],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.651715356834687e-009 1.330343071366937e-008 1.330343071366937e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1240_2,0.0,4610.033763329155000,[0.827541931552039 0.08275419315520391 0.08275419315520391],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.230960353558822e-009 1.246192070711764e-008 1.246192070711764e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1305_1,0.0,7947.262558876127000,[0.6432450411691016 0.06432450411691017 0.06432450411691017],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.334310227889679e-008 2.668620455779358e-008 2.668620455779358e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1371_1,0.0,5966.421909213554000,[0.928290506078485 0.0928290506078485 0.0928290506078485],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.055994493128843e-009 1.011198898625769e-008 1.011198898625769e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1440_1,0.0,2736.653738980708000,[0.6294731643543968 0.06294731643543969 0.06294731643543969],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.379520333587465e-008 2.75904066717493e-008 2.75904066717493e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1440_2,0.0,2744.816402364954000,[0.624857167327997 0.0624857167327997 0.0624857167327997],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.323931349307786e-008 2.647862698615572e-008 2.647862698615572e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1457_1,0.0,8313.36541567422000,[1.094507155277612 0.1094507155277612 0.1094507155277612],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.104297333197432e-009 1.220859466639486e-008 1.220859466639486e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1469_2,0.0,10088.43160492722000,[0.8281463785722405 0.08281463785722405 0.08281463785722405],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.742851963285664e-009 1.348570392657133e-008 1.348570392657133e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1189_to_1470_1,0.0,10494.80689162351000,[0.4985328391046235 0.04985328391046235 0.04985328391046235],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[6.459327538984157e-009 1.291865507796831e-008 1.291865507796831e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1264_1,0.0,8893.541914914771000,[1.137652462059586 0.1137652462059586 0.1137652462059586],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.470230899529067e-009 1.494046179905813e-008 1.494046179905813e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1266_1,0.0,5572.114364762051000,[0.5774749009084809 0.05774749009084808 0.05774749009084808],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.284406149996018e-008 2.568812299992036e-008 2.568812299992036e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1266_4,0.0,5615.357470648507000,[0.5859162366744468 0.05859162366744469 0.05859162366744469],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.336840715130316e-008 2.673681430260631e-008 2.673681430260631e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1379_1,0.0,2881.940942187634000,[0.6965592465685483 0.06965592465685483 0.06965592465685483],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[8.293214725463504e-009 1.658642945092701e-008 1.658642945092701e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1406_1,0.0,3754.301952328538000,[0.6135794787330145 0.06135794787330146 0.06135794787330146],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.329546366687906e-008 2.659092733375813e-008 2.659092733375813e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1190_to_1451_1,0.0,7870.526443824835000,[1.087626411685254 0.1087626411685254 0.1087626411685254],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.355027590618417e-009 1.471005518123683e-008 1.471005518123683e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1234_1,0.0,4911.044604570162000,[0.6166802114907911 0.06166802114907911 0.06166802114907911],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[1.430332854490323e-008 2.860665708980646e-008 2.860665708980646e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1253_1,0.0,4738.886391383712000,[1.112860210847751 0.1112860210847751 0.1112860210847751],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.837965741380662e-008 3.675931482761325e-008 3.675931482761325e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1266_2,0.0,5287.14763749262000,[0.5880984178118617 0.05880984178118617 0.05880984178118617],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.388085049013016e-008 2.776170098026032e-008 2.776170098026032e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1266_3,0.0,5152.440146783738000,[0.6181442928865006 0.06181442928865007 0.06181442928865007],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[1.363472284620762e-008 2.726944569241525e-008 2.726944569241525e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1401_1,0.0,14730.10326305702000,[1.234298366572192 0.1234298366572192 0.1234298366572192],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.747927842216789e-009 1.149585568443358e-008 1.149585568443358e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1191_to_1495_1,0.0,3396.596117068981000,[0.647627621721021 0.0647627621721021 0.0647627621721021],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[1.34924673496499e-008 2.69849346992998e-008 2.69849346992998e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1192_to_1322_1,0.0,58787.28190198274000,[2.724242634193228 0.2724242634193228 0.2724242634193228],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[4.956049863972829e-009 9.912099727945658e-009 9.912099727945658e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1192_to_1423_1,0.0,148523.6898729102000,[1.710238772390641 0.1710238772390641 0.1710238772390641],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.298565736889319e-009 1.059713147377864e-008 1.059713147377864e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1207_1,0.0,39735.25769342952000,[1.392057539988999 0.1392057539988999 0.1392057539988999],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.584659222203052e-009 1.31693184444061e-008 1.31693184444061e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1262_1,0.0,7646.120610615778000,[1.089200405445311 0.1089200405445311 0.1089200405445311],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.115026568199967e-009 1.423005313639993e-008 1.423005313639993e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1262_2,0.0,9306.194970273014000,[1.136867601150355 0.1136867601150355 0.1136867601150355],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.889135313116939e-009 1.377827062623388e-008 1.377827062623388e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1356_1,0.0,12953.84196351564000,[1.305897655172112 0.1305897655172112 0.1305897655172112],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.694679570882234e-009 1.538935914176447e-008 1.538935914176447e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1356_2,0.0,13590.31424397656000,[1.389178383946903 0.1389178383946903 0.1389178383946903],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[7.7989126560421e-009 1.55978253120842e-008 1.55978253120842e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1464_1,0.0,49665.0641903525000,[1.79505284641151 0.179505284641151 0.179505284641151],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.90549124274583e-009 1.181098248549166e-008 1.181098248549166e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1477_1,0.0,4849.450082763467000,[0.8778682131371673 0.08778682131371673 0.08778682131371673],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[8.24271221834578e-009 1.648542443669156e-008 1.648542443669156e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1193_to_1477_2,0.0,4690.321966178951000,[1.070963894616412 0.1070963894616412 0.1070963894616412],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[7.69718909518653e-009 1.539437819037306e-008 1.539437819037306e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1195_to_1313_1,0.0,14742.19178125064000,[0.8696500342807819 0.0869650034280782 0.0869650034280782],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.809295595333884e-009 1.161859119066777e-008 1.161859119066777e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1195_to_1430_1,0.0,6907.011256236837000,[0.9020224358168464 0.09020224358168463 0.09020224358168463],[0.00477464829275686 0.001591549430918954 0.001591549430918954],[5.24329699750729e-009 1.048659399501458e-008 1.048659399501458e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1196_to_1241_1,0.0,6828.894104636948000,[1.0734118578939 0.10734118578939 0.10734118578939],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[6.051021616042972e-009 1.210204323208594e-008 1.210204323208594e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1197_to_1342_1,0.0,5210.385146573553000,[0.8362298551531341 0.0836229855153134 0.0836229855153134],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[2.598102374853184e-008 5.196204749706369e-008 5.196204749706369e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1198_to_1323_1,0.0,3032.736136361629000,[0.8393461673603597 0.08393461673603596 0.08393461673603596],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.771138845639083e-009 1.554227769127817e-008 1.554227769127817e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1198_to_1323_2,0.0,2985.558743902943000,[0.8729417770553475 0.08729417770553476 0.08729417770553476],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[7.354001223087626e-009 1.470800244617525e-008 1.470800244617525e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1198_to_1455_1,0.0,5687.109580450745000,[0.845932114766462 0.0845932114766462 0.0845932114766462],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[7.539994492918808e-009 1.507998898583762e-008 1.507998898583762e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1198_to_1455_2,0.0,5830.325192815574000,[0.8812938148585383 0.08812938148585382 0.08812938148585382],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[7.271367632061786e-009 1.454273526412357e-008 1.454273526412357e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1229_1,0.0,50640.51637771436000,[1.840139170861136 0.1840139170861136 0.1840139170861136],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.649749734072812e-009 1.129949946814562e-008 1.129949946814562e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1311_1,0.0,61703.81168631065000,[1.834806391436078 0.1834806391436078 0.1834806391436078],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.94941946453939e-009 1.189883892907878e-008 1.189883892907878e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1479_1,0.0,9653.470667273373000,[1.819840000802971 0.1819840000802971 0.1819840000802971],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.836031118427053e-009 1.167206223685411e-008 1.167206223685411e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1480_1,0.0,13386.70632689285000,[1.902873554593739 0.1902873554593739 0.1902873554593739],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[3.867211165905492e-009 7.734422331810985e-009 7.734422331810985e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1480_2,0.0,13001.13077431833000,[1.93327581212268 0.193327581212268 0.193327581212268],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[4.3049007136769e-009 8.609801427353801e-009 8.609801427353801e-009],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1481_1,0.0,8311.185225277603000,[1.1693804676821 0.11693804676821 0.11693804676821],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.642235230185996e-009 1.128447046037199e-008 1.128447046037199e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1481_2,0.0,7797.416260520425000,[1.266003893405092 0.1266003893405092 0.1266003893405092],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.91605000405162e-009 1.183210000810324e-008 1.183210000810324e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1199_to_1497_1,0.0,107135.1997068483000,[1.811473297120082 0.1811473297120082 0.1811473297120082],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.627845929965373e-009 1.125569185993075e-008 1.125569185993075e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1200_to_1332_2,0.0,19627.8734354648000,[1.280014776435635 0.1280014776435634 0.1280014776435634],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[6.000001165672179e-009 1.200000233134436e-008 1.200000233134436e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1200_to_1333_1,0.0,28068.83106093978000,[1.398650967985617 0.1398650967985617 0.1398650967985617],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.878446839697916e-009 1.175689367939583e-008 1.175689367939583e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1200_to_1429_1,0.0,79880.24717828011000,[2.977816311721215 0.2977816311721215 0.2977816311721215],[0.004774648292756859 0.001591549430918954 0.001591549430918954],[5.068160120667866e-009 1.013632024133573e-008 1.013632024133573e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1200_to_1432_1,0.0,45239.79220501884000,[1.819328974050088 0.1819328974050088 0.1819328974050088],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.744982189766352e-009 1.14899643795327e-008 1.14899643795327e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
