"Component ","Description ","Value "
Vref_gen_5036_2,,1.01721
Vref_gen_5037_1,,0.98842
Vref_gen_5039_3,,0.98837
Vref_gen_5040_4,,0.98685
Vref_gen_5041_5,,0.98994
Vref_gen_5045_1,,1.07274
Vref_gen_5229_1,,0.98622
Vref_gen_5230_2,,0.98727
Vref_gen_5231_1,,0.98153
Vref_gen_5233_3,,1.01403
Vref_gen_5234_1,,1.00599
Vref_gen_5235_1,,0.99813
Vref_gen_5236_2,,1.00408
