"Component  ","Description  ","Primary winding connection ","Primary resistance [3] ","Primary leakage inductance [3] ","Primary winding voltage [3] ","Secondary winding connection ","Secondary resistance [3] ","Secondary leakage inductance [3] ","Secondary winding voltage [3] ","Magnetization resistance [3] ","Magnetization inductance [3] ","Primary neutral resistance [4] ","Primary neutral inductance [4] ","Primary neutral capacitance [4] ","Secondary neutral resistance [4] ","Secondary neutral inductance [4] ","Secondary neutral capacitance [4] ","Base primary winding voltage ","Base secondary winding voltage ","Base power  ","Base frequency  "
xf_1262_to_1567_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0.04256042116892404 0.04256042116892404 0.04256042116892404],[0.006214782215854866 0.006214782215854866 0.006214782215854866],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1263_to_1568_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0 0 0],[0.01495629236010145 0.01495629236010145 0.01495629236010145],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1263_to_1568_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0 0 0],[0.01503884451300918 0.01503884451300918 0.01503884451300918],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1267_to_1031_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[80020.74730968214000 80020.74730968214000 80020.74730968214000],Yg,[0 0 0],[0.0005735590526945118 0.0005735590526945118 0.0005735590526945118],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1268_to_1032_4,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0.04592317669426179 0.04592317669426179 0.04592317669426179],[0.005580323746686977 0.005580323746686977 0.005580323746686977],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1269_to_1032_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0.04045312699159619 0.04045312699159619 0.04045312699159619],[0.006208145401570163 0.006208145401570163 0.006208145401570163],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1270_to_1032_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0.03873241896323493 0.03873241896323493 0.03873241896323493],[0.005868142874079078 0.005868142874079078 0.005868142874079078],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1272_to_1032_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[75448.13317770031000 75448.13317770031000 75448.13317770031000],Yg,[0.03355317618993874 0.03355317618993874 0.03355317618993874],[0.005988400258161911 0.005988400258161911 0.005988400258161911],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1274_to_1033_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[88419.72494730636000 88419.72494730636000 88419.72494730636000],Yg,[0.01361342884375338 0.01361342884375338 0.01361342884375338],[0.001215513788145433 0.001215513788145433 0.001215513788145433],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1281_to_1576_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.07549054480093853 0.07549054480093853 0.07549054480093853],[0.00888266361384466 0.00888266361384466 0.00888266361384466],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1281_to_1576_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.07462441434493663 0.07462441434493663 0.07462441434493663],[0.009174000020014278 0.009174000020014278 0.009174000020014278],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1282_to_1577_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.07864420815316402 0.07864420815316402 0.07864420815316402],[0.008882755869536199 0.008882755869536199 0.008882755869536199],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1282_to_1577_4,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.08549559447148516 0.08549559447148516 0.08549559447148516],[0.008913441808754341 0.008913441808754341 0.008913441808754341],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1286_to_1578_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[73352.35170054196000 73352.35170054196000 73352.35170054196000],Yg,[0.2591622082177585 0.2591622082177585 0.2591622082177585],[0.01575250974264983 0.01575250974264983 0.01575250974264983],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1287_to_1547_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.0155114841380397 0.0155114841380397 0.0155114841380397],[0.002714151509274499 0.002714151509274499 0.002714151509274499],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1287_to_1547_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.01545768362658559 0.01545768362658559 0.01545768362658559],[0.002671707445545252 0.002671707445545252 0.002671707445545252],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1293_to_1503_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2014277215613729 0.2014277215613729 0.2014277215613729],[0.02892192694858237 0.02892192694858237 0.02892192694858237],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1293_to_1503_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1970682427181916 0.1970682427181916 0.1970682427181916],[0.02898837492112755 0.02898837492112755 0.02898837492112755],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1297_to_1507_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0 0 0],[0.02583275817074626 0.02583275817074626 0.02583275817074626],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1297_to_1507_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0 0 0],[0.02656480480928175 0.02656480480928175 0.02656480480928175],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1303_to_1581_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[71447.09581221618000 71447.09581221618000 71447.09581221618000],Yg,[0 0 0],[0.009211783542925548 0.009211783542925548 0.009211783542925548],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1304_to_1581_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[72399.72375637907000 72399.72375637907000 72399.72375637907000],Yg,[0 0 0],[0.009112378850940175 0.009112378850940175 0.009112378850940175],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1308_to_1583_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.2004265976751799 0.2004265976751799 0.2004265976751799],[0.02643227603187166 0.02643227603187166 0.02643227603187166],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1308_to_1583_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1983378883378067 0.1983378883378067 0.1983378883378067],[0.02609404770879876 0.02609404770879876 0.02609404770879876],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1310_to_1508_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3651662673179356 0.3651662673179356 0.3651662673179356],[0.02480884024004567 0.02480884024004567 0.02480884024004567],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1310_to_1508_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.3607936321921797 0.3607936321921797 0.3607936321921797],[0.02546853724299471 0.02546853724299471 0.02546853724299471],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1311_to_1056_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74939.810906695000 74939.810906695000 74939.810906695000],Yg,[0.01528833593274558 0.01528833593274558 0.01528833593274558],[0.001380212217622802 0.001380212217622802 0.001380212217622802],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1311_to_1056_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74939.810906695000 74939.810906695000 74939.810906695000],Yg,[0.006307616345610006 0.006307616345610006 0.006307616345610006],[0.0008239697455943514 0.0008239697455943514 0.0008239697455943514],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1312_to_1584_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78153.59653912289000 78153.59653912289000 78153.59653912289000],Yg,[0.200318497629241 0.200318497629241 0.200318497629241],[0.02893006760815724 0.02893006760815724 0.02893006760815724],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1312_to_1584_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[78153.59653912289000 78153.59653912289000 78153.59653912289000],Yg,[0.1895632561896486 0.1895632561896486 0.1895632561896486],[0.02914766101184288 0.02914766101184288 0.02914766101184288],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1313_to_1509_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1043873887879772 0.1043873887879772 0.1043873887879772],[0.01390421776961541 0.01390421776961541 0.01390421776961541],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1313_to_1509_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1079994796667061 0.1079994796667061 0.1079994796667061],[0.01500168178078217 0.01500168178078217 0.01500168178078217],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1313_to_1509_4,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.1114248978758928 0.1114248978758928 0.1114248978758928],[0.01466396117693444 0.01466396117693444 0.01466396117693444],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1313_to_1585_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.07681789034634191 0.07681789034634191 0.07681789034634191],[0.008807807371059359 0.008807807371059359 0.008807807371059359],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1316_to_1555_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.01465509744783632 0.01465509744783632 0.01465509744783632],[0.002898207860357744 0.002898207860357744 0.002898207860357744],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1316_to_1555_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.02237969966854151 0.02237969966854151 0.02237969966854151],[0.002926563731968925 0.002926563731968925 0.002926563731968925],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1316_to_1555_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0.01429022842994402 0.01429022842994402 0.01429022842994402],[0.002715783075547571 0.002715783075547571 0.002715783075547571],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,33333333.33333333,50
xf_1317_to_1586_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79563.48589648395000 79563.48589648395000 79563.48589648395000],Yg,[0.05816096638649466 0.05816096638649466 0.05816096638649466],[0.007076783107800653 0.007076783107800653 0.007076783107800653],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1317_to_1586_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79563.48589648395000 79563.48589648395000 79563.48589648395000],Yg,[0.05463917537915917 0.05463917537915917 0.05463917537915917],[0.007064227067856033 0.007064227067856033 0.007064227067856033],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1317_to_1586_3,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79563.48589648395000 79563.48589648395000 79563.48589648395000],Yg,[0.0546174012327144 0.0546174012327144 0.0546174012327144],[0.007296013307193292 0.007296013307193292 0.007296013307193292],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,19052.55888325765,33333333.33333333,50
xf_1318_to_1057_1,0.0,Yg,[1.089e-008 1.089e-008 1.089e-008],[3.466394660541481e-011 3.466394660541481e-011 3.466394660541481e-011],[18099.93093909477000 18099.93093909477000 18099.93093909477000],Yg,[8.375000079075215e-005 8.375000079075215e-005 8.375000079075215e-005],[2.860849970848575e-006 2.860849970848575e-006 2.860849970848575e-006],[317.5426480542942000 317.5426480542942000 317.5426480542942000],[10890000 10890000 10890000],[34663.94660541481 34663.94660541481 34663.94660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],19052.55888325765,317.5426480542942,33333333.33333333,50
xf_1322_to_1510_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0 0 0],[0.02725782980731146 0.02725782980731146 0.02725782980731146],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1322_to_1510_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[76210.2355330306000 76210.2355330306000 76210.2355330306000],Yg,[0 0 0],[0.02744521178127824 0.02744521178127824 0.02744521178127824],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1324_to_1048_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[79639.69613201698000 79639.69613201698000 79639.69613201698000],Yg,[0 0 0],[0.005232090527482959 0.005232090527482959 0.005232090527482959],[12701.70592217177000 12701.70592217177000 12701.70592217177000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,12701.70592217177,33333333.33333333,50
