"Component ","Description ","Nominal voltage ","Load Flow Voltage","Load Flow Angle","Load Flow Active Power","Load Flow Reactive Power"
bus_1104,0.0,330000,352971.9022074642000,11.1044747219506,0,0
bus_1105,0.0,330000,338044.5337268432000,-4.012439172679424,0,0
bus_1106,0.0,330000,352736.4154632425000,20.82992795177304,0,0
bus_1107,0.0,330000,341971.3153311079000,-11.87591346681503,0,0
bus_1108,0.0,132000,138463.4842862813000,13.63319065873542,0,0
bus_1109,0.0,330000,347540.2069515224000,25.58528512930064,0,0
bus_1110,0.0,330000,346925.2306658717000,-14.84828444514417,0,0
bus_1111,0.0,330000,342168.9903110804000,-11.7554989414603,0,0
bus_1112,0.0,330000,340440.5013630429000,-10.12925588470406,0,0
bus_1113,0.0,330000,343774.627586373000,22.05220978502462,0,0
bus_1114,0.0,330000,337464.0218994118000,-0.003946260780745655,0,0
bus_1115,0.0,330000,340612.0171675166000,6.620543953291656,0,0
bus_1116,0.0,330000,345703.0038054216000,10.31203454452455,0,0
bus_1117,0.0,330000,340663.8543419156000,-11.76521884521535,0,0
bus_1118,0.0,330000,338568.1789277162000,22.29398066546937,0,0
bus_1119,0.0,330000,338709.9580008541000,0.4726988178013388,0,0
bus_1120,0.0,330000,341813.2070941727000,-8.246491260547778,0,0
bus_1121,0.0,500000,527649.1587216319000,1.218506002492175,0,0
bus_1123,0.0,330000,342584.7343639923000,-1.021279768640452,0,0
bus_1124,0.0,330000,338190.6807322594000,-6.426807055909307,0,0
bus_1125,0.0,330000,337423.2914737032000,4.978460662175444,0,0
bus_1126,0.0,330000,340138.3143393562000,6.584062680213872,0,0
bus_1127,0.0,132000,138042.8048166886000,-19.46389930000411,-52144607.2876835,10418699.4219702
bus_1128,0.0,132000,138030.038037757000,-19.40236534486947,-47070203.76749239,7423224.07301534
bus_1129,0.0,132000,138164.8859979216000,-19.17903518095962,-771102.1072752769,-535070.520377159
bus_1130,0.0,132000,138192.5672411897000,-19.36830718059969,-46813271.8256355,6031304.23971033
bus_1131,0.0,132000,138737.7311926251000,-18.45282550283369,0,0
bus_1132,0.0,330000,333606.0117644773000,-5.261014874612454,0,0
bus_1133,0.0,330000,339850.8617658453000,-10.13755091142178,0,0
bus_1134,0.0,330000,343692.8171241912000,-13.54992377193754,0,0
bus_1136,0.0,132000,133946.5474254696000,26.5886502529894,0,0
bus_1137,0.0,132000,137695.5384052169000,10.56586515752351,0,0
bus_1138,0.0,330000,343198.9539190396000,-12.48436238274671,0,0
bus_1139,0.0,132000,135774.6580347421000,18.56383733712308,-14294913.0828764,-5147304.89338171
bus_1140,0.0,330000,341474.5885984871000,-11.19058337365726,0,0
bus_1141,0.0,330000,347943.7838887483000,-14.43198101994046,0,0
bus_1142,0.0,330000,349496.412301167000,21.55538797031457,0,0
bus_1143,0.0,330000,349496.4122986538000,21.55538797315014,0,0
bus_1144,0.0,330000,341131.5399985529000,-11.36660502774084,0,0
bus_1145,0.0,330000,347980.3936880115000,10.35642636581861,0,0
bus_1146,0.0,330000,331580.5557127514000,-6.117208718562539,-969015003.7223427,-274396284.2768996
bus_1147,0.0,330000,337331.409462465000,-9.554664906240859,0,0
bus_1148,0.0,330000,336254.7194179278000,20.11216115277563,0,0
bus_1149,0.0,330000,338275.6693803784000,-5.488875077276375,4349383.474,-20392921.91842254
bus_1150,0.0,330000,339262.2738297904000,-11.58035221279875,0,0
bus_1151,0.0,330000,347402.0258124762000,22.59747569897063,0,0
bus_1152,0.0,330000,342142.0342833864000,-1.715413527701392,0,0
bus_1153,0.0,330000,332048.6708706729000,-5.906182272295832,0,0
bus_1154,0.0,330000,332229.754416582000,10.6986678674577,0,0
bus_1155,0.0,330000,339375.8537309054000,-2.014981055088598,0,0
bus_1156,0.0,500000,529893.2646776489000,3.357201427299076,0,0
bus_1157,0.0,330000,347203.7094111623000,2.069465416832535,0,0
bus_1158,0.0,330000,335055.2545279211000,9.66250731252819,0,0
bus_1159,0.0,132000,135409.871230441000,12.87029397213267,0,0
bus_1160,0.0,132000,142711.3563412502000,10.7230449975182,0,0
bus_1161,0.0,33000,31885.42661447651000,0.508715633861644,0,0
bus_1162,0.0,33000,34080.3919514375000,0.4997470458633272,0,0
bus_1163,0.0,132000,138857.4852412954000,-18.43917719764521,0,0
bus_1164,0.0,132000,139135.8209706369000,7.473031042478996,0,0
bus_1165,0.0,132000,135600.1025525529000,9.451178079126519,0,0
bus_1166,0.0,132000,135067.478360403000,-4.945411064841417,-301531118.9719217,-25095294.13056086
bus_1167,0.0,220000,225790.1126046515000,20.9028893068318,0,0
bus_1168,0.0,132000,142876.998015714000,20.02358894221748,-17991623.21349137,4015321.784723088
bus_1169,0.0,132000,138713.1018655462000,-18.43954029020352,-245362824.1939315,-97027413.04246018
bus_1170,0.0,132000,135130.4580328935000,-15.21269695255678,0,0
bus_1171,0.0,132000,135095.4644869703000,-15.18492552664293,0,0
bus_1172,0.0,132000,138148.8445662447000,20.90758867908772,0,0
bus_1173,0.0,132000,132537.239999905000,9.863507771527251,0,-12789726.00203377
bus_1174,0.0,132000,136808.5788490002000,-14.58335293756252,0,0
bus_1175,0.0,132000,136813.7608900819000,-14.57353419561533,0,0
bus_1176,0.0,132000,136810.6890231818000,-14.57578988970719,0,0
bus_1177,0.0,132000,135712.7731904788000,-0.5869373359806229,0,0
bus_1178,0.0,132000,136826.5298216412000,-13.42856220209507,0,0
bus_1179,0.0,132000,142312.7869388827000,-4.03635933845317,0,0
bus_1180,0.0,132000,137501.7882367991000,-8.362517725499417,0,0
bus_1181,0.0,33000,32927.72999998758000,6.186595908266506,43239112.9215568,4308582.46416998
bus_1182,0.0,132000,139056.0468862071000,4.256303139121247,0,0
bus_1183,0.0,132000,139183.2615864955000,-9.14614919711142,0,0
bus_1184,0.0,132000,134520.6273191092000,-12.4707361779142,-73357208.88432779,-33440472.11891768
bus_1185,0.0,132000,135017.0940816463000,-16.61128981898583,-632518389.1335345,25520239.11988364
bus_1186,0.0,132000,136527.839587624000,-16.41523228602024,-215919671.694818,-81553753.78110216
bus_1187,0.0,132000,135036.0371164665000,-16.09922114238406,0,0
bus_1188,0.0,132000,135061.0695119796000,-16.61427713441913,0,0
bus_1189,0.0,132000,136659.135180206000,-15.12906390943787,-78466120.72305909,-3503083.06385633
bus_1190,0.0,132000,137839.6900966634000,-15.9368489250595,-8259493.21419513,-19136.7482934147
bus_1191,0.0,132000,137767.2236234325000,-15.73302509786641,-24109205.8152781,-6274677.04216484
bus_1192,0.0,132000,135740.7733420119000,8.131920662220686,-103775830.8898197,-19840199.8823269
bus_1193,0.0,132000,140242.3162861767000,-8.251555429025876,0,0
bus_1194,0.0,132000,136802.5249987664000,-10.21765499143834,0,0
bus_1195,0.0,132000,137748.8433890218000,-11.73648420230902,-41184766.744947,-17526467.5299108
bus_1196,0.0,132000,139243.6923450667000,-8.678429239879797,-8196319.011532241,717465.096622706
bus_1197,0.0,132000,138104.7374508622000,-7.707293256042369,0,0
bus_1198,0.0,132000,136959.6478329425000,-15.4978901908185,0,0
bus_1199,0.0,132000,139061.1193783737000,24.02002312556507,0,0
bus_1200,0.0,132000,142043.0799618855000,-4.381686630838623,-18255845.9241623,-8838053.886633739
bus_1201,0.0,132000,138547.9010932665000,-6.831170659545386,-80430232.87050501,-30824093.1083626
bus_1202,0.0,132000,138949.8841805688000,-11.20293169611148,0,0
bus_1203,0.0,132000,137937.0288121827000,-9.847637440605078,-33561723.720686,-22438215.6755955
bus_1204,0.0,132000,135775.502636027000,9.183502503579549,0,0
bus_1205,0.0,132000,138642.5742877882000,-4.9645850279442,0,0
bus_1206,0.0,132000,137274.2012658564000,11.08251172842113,0,0
bus_1207,0.0,132000,138144.1467045923000,-8.843206218099784,0,0
bus_1208,0.0,132000,137684.8570225107000,11.52263956430804,0,0
bus_1209,0.0,66000,69026.88421288345000,9.752722624191225,-34192792.75183901,-2271378.638604469
bus_1210,0.0,132000,138027.7399241446000,-9.82893058401427,-35387361.9386335,-7750407.629496039
bus_1211,0.0,220000,230967.1395212005000,21.10920861467919,0,0
bus_1212,0.0,132000,138121.2565042225000,-19.08599005971061,0,0
bus_1213,0.0,132000,136678.4025823356000,-17.43133955980701,0,0
bus_1214,0.0,132000,135939.1694343996000,-8.425841157235702,-67968252.4156627,-18916352.62504966
bus_1215,0.0,132000,136504.2440929772000,-16.11328844993065,0,0
bus_1216,0.0,132000,136495.8840728843000,-16.11830527356315,-27626572.6334902,-14479561.4460355
bus_1217,0.0,220000,228689.4059413975000,20.68804724613582,-17028746.8016645,-1388777.13293713
bus_1218,0.0,110000,114131.5999998899000,13.19030203356221,-85804595.4265578,15645376.54485376
bus_1219,0.0,132000,138841.7362052038000,-18.12311519920622,0,0
bus_1220,0.0,132000,137063.7827290899000,-16.24559136382167,-63495530.59427809,-16168201.30505995
bus_1221,0.0,132000,138858.241087541000,-18.43959031045461,0,0
bus_1222,0.0,220000,226467.8260812435000,21.8066612652898,0,0
bus_1223,0.0,132000,135766.3480693428000,-8.569247838379621,-12166981.2024641,-4186808.69391607
bus_1224,0.0,132000,136768.120909489000,-14.50171285511423,0,0
bus_1225,0.0,132000,138803.6806864368000,16.01624463786756,0,0
bus_1226,0.0,132000,134632.2314419827000,4.347970268025256,-2183573.898704817,-28814.84689265501
bus_1227,0.0,132000,136658.6002659647000,-17.42116336342057,0,0
bus_1228,0.0,132000,135886.7742906525000,-8.457462418437075,-14063373.1906498,-3448701.04313996
bus_1229,0.0,132000,137765.3530208043000,21.56790861139781,-6327268.349225909,-3252078.37965991
bus_1230,0.0,132000,136862.5176054653000,-14.61492029259106,-15106573.7890452,-6244749.301662671
bus_1231,0.0,132000,137384.3506747857000,-18.01801521486332,0,0
bus_1232,0.0,132000,137063.0336505706000,-16.11124166235477,-19672794.29336503,-5267365.830491631
bus_1233,0.0,132000,137408.1886207782000,-18.06049048179097,0,0
bus_1234,0.0,132000,136284.0009851855000,-15.74124523446082,0,0
bus_1235,0.0,132000,136253.138100277000,-15.77671333973901,0,0
bus_1236,0.0,132000,136816.2053986967000,-14.58915891586211,-5580047.24041424,6815000.44697765
bus_1237,0.0,132000,134090.5378961825000,7.711737290478136,-15787991.3943052,-1242742.92333308
bus_1238,0.0,132000,133665.1207211376000,25.7965188189025,0,0
bus_1239,0.0,132000,138411.7953755651000,-9.505126285492407,0,0
bus_1240,0.0,132000,135463.3952174706000,-15.21838927690177,-97105038.87192741,724518.364819
bus_1241,0.0,132000,138552.2507348856000,-9.402736679509347,0,0
bus_1242,0.0,132000,138949.8047085386000,-11.20292597879551,0,0
bus_1243,0.0,132000,138155.8231670992000,-19.17635431065033,-17788299.8716159,-9621537.80921083
bus_1244,0.0,132000,138060.2851915139000,-19.41040165241186,-14253422.2819245,-9389619.3828518
bus_1245,0.0,132000,138216.8641476456000,-19.32503937604908,0,0
bus_1246,0.0,132000,138055.8678249882000,-19.34922126233896,-16381445.9094408,-9994402.159753349
bus_1247,0.0,132000,137289.5054770106000,19.93241939913644,-72066892.96252719,-9156617.90897553
bus_1248,0.0,132000,138848.6014031725000,-18.44216713636494,-216529.954653187,-402209.589569597
bus_1249,0.0,132000,137427.5164617898000,20.23229998054176,-47822840.1746794,-8409319.319905711
bus_1250,0.0,132000,136671.1334542844000,-17.43891310049429,-14411742.0476302,4200474.44137335
bus_1251,0.0,132000,136648.8448858456000,-17.42638761464244,-12143173.6785404,318947.154081613
bus_1252,0.0,132000,136673.1632512595000,-14.72201800829358,-31205549.9035928,-8912955.907606051
bus_1253,0.0,132000,137776.156240814000,-15.73385193866692,0,0
bus_1254,0.0,132000,135974.8271155857000,-15.9436024403569,-25261175.76154726,-1988931.32955381
bus_1255,0.0,132000,134405.5837654095000,8.21428991612963,-63864067.40203871,-26753213.7225454
bus_1256,0.0,132000,134831.1310189622000,4.27389723222799,-3565228.78216495,-1273702.663153876
bus_1257,0.0,132000,138850.2814645231000,-9.354357432555146,-1967176.930572185,-407974.6067567259
bus_1258,0.0,132000,135105.0722452468000,-15.14732976265082,-24174062.8548357,-7065391.07952262
bus_1259,0.0,132000,134933.457024222000,-15.09850184755589,-29176687.9095708,-9886487.03696528
bus_1260,0.0,132000,136130.6313723646000,-17.93916385154232,-203868111.1943274,-26248484.7587991
bus_1261,0.0,132000,136006.1079187633000,-17.67871443468384,-50303325.92818969,-9914789.816284699
bus_1262,0.0,132000,139187.3569059183000,-8.996363330172327,0,0
bus_1263,0.0,132000,138065.1100715057000,-8.227938152816435,0,0
bus_1264,0.0,132000,136603.5484828911000,-16.53517424419018,-50212130.5000638,-26702488.9160251
bus_1265,0.0,132000,136565.3639553563000,-17.61725801076986,0,0
bus_1266,0.0,132000,136785.9740819529000,-17.22924238505211,-226496854.5440092,-27694858.98624999
bus_1267,0.0,132000,134107.0839539373000,19.68135844072,0,0
bus_1268,0.0,132000,138344.8933453611000,-19.60548420139822,0,0
bus_1269,0.0,132000,138346.747717864000,-19.48749610012415,0,0
bus_1270,0.0,132000,138340.8107003822000,-19.54558853815223,0,0
bus_1271,0.0,132000,137916.0347325402000,-16.5040313090999,0,0
bus_1272,0.0,132000,138469.8423814601000,-18.48441027736121,0,0
bus_1273,0.0,132000,138721.2939982177000,6.502851569373458,0,0
bus_1274,0.0,132000,136249.3254416812000,14.23186535959918,0,0
bus_1275,0.0,132000,138743.0941779706000,-18.46656018058138,-36344475.7808555,-9878791.34733244
bus_1276,0.0,132000,138164.9744335377000,-19.17904109703307,0,0
bus_1277,0.0,132000,138192.654123552000,-19.36831326159448,0,0
bus_1278,0.0,132000,134302.3523406979000,8.018487436851279,0,0
bus_1279,0.0,132000,137056.2056140844000,-16.36223644903662,0,0
bus_1280,0.0,132000,138725.0312281887000,-18.28802412244875,0,0
bus_1281,0.0,132000,137398.8096415685000,-17.47225454115026,0,0
bus_1282,0.0,132000,136476.3478338478000,-17.25538827427879,0,0
bus_1283,0.0,132000,138779.6113393175000,-9.543082943195239,0,0
bus_1284,0.0,132000,135780.7348332546000,-18.53098306101975,-203875945.7735352,-25622483.87012746
bus_1285,0.0,132000,132948.3813453939000,9.585370274474228,0,0
bus_1286,0.0,132000,132911.2563489266000,9.564846045795749,0,0
bus_1287,0.0,132000,136960.4714352828000,-9.246670039598175,0,0
bus_1288,0.0,132000,134011.5714919568000,7.674094842060058,-43936337.5970336,-14543146.43964455
bus_1289,0.0,132000,138550.088982587000,-18.63898455865734,0,0
bus_1290,0.0,132000,137181.086747474000,-16.79945158695457,0,0
bus_1291,0.0,132000,136697.6454591288000,-16.66894386562156,0,0
bus_1292,0.0,132000,142493.9156174079000,19.69016202282113,-4885595.03558837,2271768.94394122
bus_1293,0.0,132000,137426.1803464479000,11.08851785268057,-1209397.7393467,1751946.97253779
bus_1294,0.0,132000,133885.3928523235000,7.612454075130282,-40134903.3437723,-12287372.27329099
bus_1295,0.0,132000,134226.7084965166000,7.899990547817421,-68016100.31652748,-12381243.84677676
bus_1296,0.0,132000,135633.4804913133000,4.181391619507622,0,0
bus_1297,0.0,132000,135865.1541219635000,17.10275628896928,0,0
bus_1298,0.0,132000,134026.6259025831000,10.21240080949573,0,0
bus_1299,0.0,132000,133939.878665392000,10.19036475608192,-3942192.4761706,-1087081.0351701
bus_1300,0.0,132000,135213.9262540493000,-4.96859239540672,0,0
bus_1301,0.0,132000,134412.8735129113000,-4.170840763072679,-70103069.7944441,6366211.994015471
bus_1302,0.0,132000,138773.7156036638000,-9.391358334788331,0,0
bus_1303,0.0,132000,138400.5371808454000,-9.509153163119137,0,0
bus_1304,0.0,132000,135039.1346977897000,-12.57301683889371,0,0
bus_1305,0.0,132000,136294.6959681084000,-16.33377428883404,-56530209.1811327,-23059297.7447903
bus_1306,0.0,132000,134570.9656779343000,8.187855035628033,-30601496.45789399,-10896390.73887616
bus_1307,0.0,132000,134596.593528263000,8.379479653519082,-45919339.8580251,-15506659.14585907
bus_1308,0.0,132000,136221.6010681827000,18.719126884013,0,0
bus_1309,0.0,132000,138138.0158993508000,-19.12595225555424,-404248.6389959229,-4447667.801138799
bus_1310,0.0,132000,132297.7135282682000,-5.076054615061028,0,0
bus_1311,0.0,132000,133725.6891134076000,18.88901097638067,0,0
bus_1312,0.0,132000,136393.0153225118000,10.70698070187351,0,0
bus_1313,0.0,132000,135402.2498419322000,-13.97758682035693,0,0
bus_1314,0.0,132000,133775.2941973729000,-2.136527142239216,-39058650.40459788,-10939024.25684631
bus_1315,0.0,132000,138385.2633833875000,12.27493669550901,0,0
bus_1316,0.0,132000,138840.1430020382000,-18.44481082518258,0,0
bus_1317,0.0,132000,140039.025508003000,17.93314744353913,0,0
bus_1318,0.0,33000,33503.00191592602000,15.07249015472151,0,0
bus_1319,0.0,33000,33503.63113625283000,15.07175145986223,0,0
bus_1320,0.0,132000,136703.9042449166000,-16.73519823153621,-2129260.653318655,991809.2056268359
bus_1321,0.0,132000,135627.2996412523000,-15.79973846923255,-25061041.0354145,-7496888.01184218
bus_1322,0.0,132000,133280.843227894000,5.248474252784806,0,0
bus_1323,0.0,132000,136640.2807360337000,-15.85052425637314,-158330567.6122174,-30763140.24858065
bus_1324,0.0,132000,138283.6936759304000,12.29367403115046,0,0
bus_1325,0.0,132000,136635.7282517081000,-17.44567131570856,-17068840.8254543,-4610512.56585792
bus_1326,0.0,132000,137982.7882823843000,-18.9207130262469,0,0
bus_1327,0.0,132000,137589.1484231012000,20.29937437151085,0,0
bus_1328,0.0,132000,120848.3817327439000,21.979662673219,0,0
bus_1329,0.0,132000,141029.1438036763000,-5.486940383111662,0,0
bus_1330,0.0,132000,138628.3808385116000,-18.54005626946732,-40028712.2888974,-22099805.2462132
bus_1331,0.0,132000,136757.3987011672000,9.940302243662513,0,0
bus_1332,0.0,132000,139797.3627507937000,-5.232630380891593,0,0
bus_1333,0.0,132000,138979.193783711000,-8.271103113215371,0,0
bus_1334,0.0,132000,134833.0196308487000,0.940510354384915,0,0
bus_1335,0.0,132000,135490.1539998319000,7.487738152566173,0,0
bus_1336,0.0,132000,138581.3409095156000,-9.726600562587834,0,0
bus_1337,0.0,132000,138591.2748534088000,-9.706322867923028,0,0
bus_1338,0.0,132000,136061.2115342357000,-16.09825661285475,-34108852.945197,-14136632.18226265
bus_1339,0.0,132000,134873.1633323000,8.715347584265473,-36744209.5119084,-11220101.05507896
bus_1340,0.0,132000,138127.9614634089000,-19.0925314438473,-12073728.3686998,-3079630.48868626
bus_1341,0.0,132000,135833.3450427999000,-17.69302319835029,-26454673.81292021,-1992638.48346649
bus_1342,0.0,132000,137752.095334099000,-8.094783854861557,0,0
bus_1343,0.0,132000,138742.7015190346000,-18.52965813066347,-27067598.4925274,-8249607.23633594
bus_1344,0.0,132000,138766.6031260758000,-18.50407372202234,-20890565.5667963,-6688585.404326619
bus_1345,0.0,132000,139474.8732713852000,-5.54081718060678,-11543637.48584082,-2373683.428891138
bus_1346,0.0,132000,134139.73065723000,-12.76725924705626,0,0
bus_1347,0.0,132000,133003.5019739419000,9.844200666646493,0,0
bus_1348,0.0,132000,133665.1971780035000,25.79650696474989,0,0
bus_1349,0.0,132000,138745.3053875363000,-18.50181158758643,-19157369.92201694,-5236235.43561995
